歌曲名,目标难度,预测难度,差值,差值绝对值,键型,子键型
Death Melody(e8v2) x1.25,14.5,14.6,0.09999999999999964,0.09999999999999964,stamina,dense handstream
Stay Alive (Zekk Remix) x1.25,14.5,14.6,0.09999999999999964,0.09999999999999964,speed,mid stream
Paraclete -Miracle,14.5,14.6,0.09999999999999964,0.09999999999999964,speed,low stream
Alpha,14.4,14.4,0,0,tech,stream tech
Ankoku Butoukai,14.4,14,-0.40000000000000036,0.40000000000000036,tech,mix tech
Kaguyahime(mintapril) x1.2,14.4,14,-0.40000000000000036,0.40000000000000036,tech,mix tech
Heaven's Fall(e7v3) x1.4,14.4,14.4,0,0,stamina,dense handstream
Ash Statues(wafles)[Passable],14.4,14,-0.40000000000000036,0.40000000000000036,stamina,light jumpstream
STRONG 280(11bit),14.4,14,-0.40000000000000036,0.40000000000000036,stamina,dense handstream
Pine Nut,14.4,14.4,0,0,speed,high stream
LiFE Garden(e7v3) x1.05,14.4,14.4,0,0,jack,high chordjack
Crescent Moon Boss Battle x1.05,14,14,0,0,tech,stream tech
FUTURE DOMINATORS(delta) x1.3 ,14,14,0,0,stamina,dense handstream
Quadraphinix x1.5,14,14,0,0,stamina,dense handstream
Volcanic(delta),14,13.6,-0.40000000000000036,0.40000000000000036,speed,high stream
STRONG 280(isxi),14,14,0,0,jack,dense chordjack
Aquaris(snover) x1.3,14,13.6,-0.40000000000000036,0.40000000000000036,jack,low chordjack
Ascension to heaven(sp6v2) x0.975,13.8,14,0.1999999999999993,0.1999999999999993,speed,
Nhelv(Guilhermeziat),13.6,13.4,-0.1999999999999993,0.1999999999999993,tech,jack tech
Shadows of Cats(tachyon) x1.2,13.6,12.8,-0.7999999999999989,0.7999999999999989,tech,stream tech
The Empress(delta),13.6,13.4,-0.1999999999999993,0.1999999999999993,stamina,dense handstream
Nopea,13.6,13.4,-0.1999999999999993,0.1999999999999993,speed,mid stream
Pastel Subliminal,13.5,13.4,-0.09999999999999964,0.09999999999999964,speed,
Extraction,13.4,13.4,0,0,tech,
Tornado [Devastation](interliser),13.4,12,-1.4000000000000004,1.4000000000000004,tech,mix tech
Cyber Inductance(tachyon) x1.4,13.4,13,-0.40000000000000036,0.40000000000000036,stamina,dense jumpstream
Electric Angel(e5v3) x1.2,13.4,13,-0.40000000000000036,0.40000000000000036,speed,high stream
Angel Dust(tachyon),13.4,12.6,-0.8000000000000007,0.8000000000000007,speed,high stream
Defeat awaken battle ship,13.4,12.6,-0.8000000000000007,0.8000000000000007,jack,high chordjack
WE LUV LAMA(gamma) x1.2,13,13,0,0,stamina,dense jumpstream
Reflec Streamz(gamma),13,13.4,0.40000000000000036,0.40000000000000036,speed,low stream
Break(loved) x1.1,13,13.4,0.40000000000000036,0.40000000000000036,jack,high chordjack
Sendan Life(OpakyL),13,12.4,-0.5999999999999996,0.5999999999999996,jack,dense chordjack
Unsan-musho,12.8,13,0.1999999999999993,0.1999999999999993,tech,stream tech
Sonesaki Shinju(sp5v2) x0.925,12.7,12.6,-0.09999999999999964,0.09999999999999964,speed,
Fastest Crash (gamma),12.6,12.6,0,0,tech,stream tech
Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),12.6,12.6,0,0,stamina,dense jumpstream
The Truth Never Spoken,12.6,12.4,-0.1999999999999993,0.1999999999999993,jack,mid chordjack
Bring Our Ignition Back x1.1,12.6,12,-0.5999999999999996,0.5999999999999996,jack,mid chordjack
Japanese Transformation(fullerene),12.5,12,-0.5,0.5,stamina,dense jumpstream
Crystal World -Fracture-,12.5,12.6,0.09999999999999964,0.09999999999999964,speed,
IMAGE -MATERIAL- Version 0(luminal),12.4,12,-0.40000000000000036,0.40000000000000036,stamina,light handstream
Lolit Speed,12.4,11,-1.4000000000000004,1.4000000000000004,stamina,dense jumpstream
Pure Ruby,12.4,12,-0.40000000000000036,0.40000000000000036,speed,
Odin(fullerene),12.4,11.6,-0.8000000000000007,0.8000000000000007,speed,high stream
Mario Point[D-Hyper],12.4,11,-1.4000000000000004,1.4000000000000004,speed,low stream
ZENITHALIZE,12.4,12.4,0,0,jack,high chordjack
IMAGE -MATERIAL- Version 0(fullerene),12.3,12,-0.3000000000000007,0.3000000000000007,stamina,light handstream
YELL!(e4v2),12.2,11.6,-0.5999999999999996,0.5999999999999996,speed,
Asymmetrical Grooves,12,12,0,0,tech,
Blue Planet,12,12.4,0.40000000000000036,0.40000000000000036,tech,stream tech
Time to Say Goodbye(beta),12,12,0,0,stamina,dense jumpstream
Amber Starlight(beta),12,11.4,-0.5999999999999996,0.5999999999999996,speed,low stream
Paradigm Shift(beta),12,12,0,0,jack,high chordjack
Edison(e3v3) x1.15,12,11.6,-0.40000000000000036,0.40000000000000036,jack,mid chordjack
Akasha(sp3v2) x0.88,11.7,10.6,-1.0999999999999996,1.0999999999999996,speed,
End Time(e3v2) x1.1,11.5,11,-0.5,0.5,speed,
INTERNET OVERDOSE x1.05,11.4,12,0.5999999999999996,0.5999999999999996,tech,stream tech
Enthanasia x1.05,11.2,11.4,0.20000000000000107,0.20000000000000107,speed,
LazorBeamz,11,11,0,0,stamina,light jumpstream
Makiba(alpha),11,11,0,0,speed,low stream
Dark Sambaland,11,11,0,0,jack,high chordjack
Odoru Mizushibuki x1.1,10.8,11,0.1999999999999993,0.1999999999999993,tech,jack tech
Towards the Horizon,10.8,11,0.1999999999999993,0.1999999999999993,tech,
P8107 x0.95,10.8,11.6,0.7999999999999989,0.7999999999999989,speed,low stream
Message(e2v2),10.7,10.6,-0.09999999999999964,0.09999999999999964,speed,low stream
Moment x1.05,10.6,10.6,0,0,jack,high chordjack
Shin Takarajim(sp2v2),10.5,10.6,0.09999999999999964,0.09999999999999964,speed,
Torikago,10.4,10.4,0,0,speed,mid stream
The Lost Dedicated(loved),10.4,11,0.5999999999999996,0.5999999999999996,jack,high chordjack
Eiya no Parade x1.05,10.3,9.4,-0.9000000000000004,0.9000000000000004,speed,low stream
Dope Monkeys x1.02,10.1,9,-1.0999999999999996,1.0999999999999996,speed,low stream
Tailin no Soul x1.2,10,9,-1,1,tech,stream tech
Rave 7 [Hard] x1.1,10,11,1,1,tech,stream tech
Chandelier(10),10,11,1,1,stamina,dense jumpstream
Oh Curry! x0.9,10,8,-2,2,speed,staircase
The Lost Dedicated(10),10,11,1,1,jack,high chordjack
Cicadidae,9,9.2,0.1999999999999993,0.1999999999999993,tech,stream tech
Firmament Castle Velier(9) x1.05,9,9.2,0.1999999999999993,0.1999999999999993,stamina,dense jumpstream
Disconnected Trance(9),9,7.2,-1.7999999999999998,1.7999999999999998,speed,low stream
Scorpion Dance,9,9,0,0,jack,high chordjack
Can't Take my Eyes,9,7.6,-1.4000000000000004,1.4000000000000004,jack,low chordjack
RATO,8,7.4,-0.5999999999999996,0.5999999999999996,tech,stream tech
Anguish(8),8,8.6,0.5999999999999996,0.5999999999999996,stamina,dense jumpstream
Trickstarz,8,7.4,-0.5999999999999996,0.5999999999999996,speed,staircase
To The Limit(8),8,7.4,-0.5999999999999996,0.5999999999999996,jack,high chordjack
WAVE,7,6.6,-0.40000000000000036,0.40000000000000036,tech,mix tech
Hymn,7,7,0,0,stamina,light jumpstream
Last Chance,7,5.2,-1.7999999999999998,1.7999999999999998,jack,
Five Five Five Guys,6.6,6,-0.5999999999999996,0.5999999999999996,speed,low stream
M-A[Expert Lv.15],6.2,7,0.7999999999999998,0.7999999999999998,stamina,dense jumpstream
The Bird's Midair Heatstroke,6,4,-2,2,tech,
Luv Lab 22ate!,6,6.2,0.20000000000000018,0.20000000000000018,speed,mid stream
SOS,6,5.2,-0.7999999999999998,0.7999999999999998,speed,mid stream
Sweet Cherry X,6,4.8,-1.2000000000000002,1.2000000000000002,jack,
Back to the Gate[Lv.5100],6,6,0,0,stamina,dense jumpstream
Brainfog,5,4.2,-0.7999999999999998,0.7999999999999998,tech,
Elektric U-Phoria,5,5.6,0.5999999999999996,0.5999999999999996,stamina,dense jumpstream
Palette GAMMA[Abstract],5,5,0,0,speed,low stream
TDPDG,5,4.8,-0.20000000000000018,0.20000000000000018,speed,low stream
Energy Flower 3007,5,3.2,-1.7999999999999998,1.7999999999999998,jack,
Angel Of Darkness,4.2,4.4,0.20000000000000018,0.20000000000000018,stamina,light jumpstream
Ephemera,4,3.8,-0.20000000000000018,0.20000000000000018,tech,
Shannon's Theorem,4,3.4,-0.6000000000000001,0.6000000000000001,tech,stream tech
CrossOver,4,1.2,-2.8,2.8,jack,
Kirlian Shores,3,0.2,-2.8,2.8,tech,
True Blue,3,3,0,0,stamina,
Entelechia,3,3,0,0,speed,mid stream
Dimension Trippere!!!!,3,1.8,-1.2,1.2,jack,
Vermillion,2,0.8,-1.2,1.2,tech,
Eternal Drain,2,1.8,-0.19999999999999996,0.19999999999999996,stamina,
Snow Storm,2,1.6,-0.3999999999999999,0.3999999999999999,speed,
Flashes,2,2.8,0.7999999999999998,0.7999999999999998,jack,
Want U 2,1,0.4,-0.6,0.6,tech,
Tommorow Perfume,1,1.4,0.3999999999999999,0.3999999999999999,stamina,
Shelter,1,0.8,-0.19999999999999996,0.19999999999999996,speed,
Miracle Chance,1,-1,-2,2,jack,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
